Text,Label,Notes
"People who STILL have my notifs on, I love you and your the most amazing people to ever exist &lt;3",appreciation,
Thank you everyone who joined the stream today! And thanks to @/Jrush13 and @/VOIDsoupS for the raids!,appreciation,
where is rachel weisz??,other,
Summer in the Netherlands:\n\nRain\nRain\nRain\nOh sun\nRain\nMore rain…\n \nGetting fucking tired of this shit!,rant,
I have emptied the entire Emmarose ship into the bin cause what!!! Ozone my ever loyal ship,rant,
so the nct not showering thing was true,informative,"Since this was providing some insight/opinion, but about something informative/that's trending, I wasn't sure if it would be informative or other"
lol why is it so hot,appreciation,
zain acting gay on the tl then getting mad when xe gets called out 😕,rant,
You you you you,other,
Sara Jacobs is good you guys,appreciation,
I’m the moisture master.,appreciation,Was not sure if talking about self was part of the appreciation or going into the other category
Egyptian cotton for who when there’s presles 😂😂,appreciation,
Can i have at least one track in their cb album wd all rapper lines just spitting fire 🔥😎,rant,
Demons are just angels with their backs turned,informative,
Now why she in it?,rant,"This felt like other, but at the same time, the tone was interesting to think about. It sounded more like the person was annoyed, so I put it in the rant section"
"I never confess my feelings to him, bcs idk... he might not liking me back bcs i am not that pretty I guess???",rant,
lyrics of war of hormone,other,
Keep it cute,appreciation,
"You can’t cancel someone who has a strong core fanbase, losing shows and endorsements is a set back but long as pure streams are there…",rant,
"wtf yo after 10 thousand years of him teasing ofuro stream, he rlly did it?",rant,
NAM estates has accepted 1000 crs at 19% rating BBB- CE maturity 30-07-2026,informative,
“dive in action” more like… OH IM ABOUT TO DIVE IN,other,
"Always on the right side of everything, Clay Jenkins.",rant,
Crusty ass men living in basements have nothing better to do,rant,
"Ha ke boela jhb next week, I'll only ever come home again in Dec.\n\nGanke go fela monate gotla gae😒😒",rant,
I really didn’t need this reminder today but thanks 😑,rant,
Another liberal for unity,other,
shhhh treasure,other,
wake up &amp; thank God for the day!🙏🏾💫,appreciation,
it’s august wtf 😳,rant,
Buying this and challenging everybody on Nextdoor to a shootout at high noon,other,
Don’t let anyone steal your joy.,appreciation,
ahhh i’m probably gonna be ia(ish) for awhile🙃,other,
Every day the bus comes then I start\nTo lose it,rant,
// HE LOST TO THE POWER OF FRIENDSHIP 😱😱 /J,rant,
self care tip: do not check your phone’s battery health,informative,
Louder.,other,
That fan boy / fan girl shit is so cringe. We’re all just normal people that bleed the same blood at the end of the day.,rant,
its not bc hes gay its bc the nigga is talented,appreciation,
"""meatier...meteor?🥺"" energy",other,
Can’t wait to read this book!!!!,appreciation,
Being able to reply to specific messages in iMessage is a godsend,informative,
Curious staring. \n\nWho may he be?,other,
i feel like everyone here is annoyed with me so imma hop off 👍,rant,
⠀⠀\nThere you go plaguing my mentions yet again.\n⠀⠀,rant,
Ain’t no way sandy is gonna sign him last second,other,
not the emoji,other,
Try me,other,
